Name,Country,Runs,Average,Standard Deviation,Reliability,Dependableness,50s,100s,highscore,,Table Created,2018-11-20 15:29:19
BJ Watling,NZ,2906,38.24,32.01,1.1947,45.68,21,6,142
AH Jones,NZ,2922,44.27,41.62,1.0638,47.1,18,7,186
HW Taylor,SA,2936,40.78,38.0,1.0731,43.76,24,7,176
KR Miller,AUS,2958,36.98,36.62,1.0097,37.33,20,7,147
AD Nourse,SA,2960,53.82,48.3,1.1143,59.97,23,9,231
Taufeeq Umar,PAK,2963,37.99,40.35,0.9415,35.77,21,7,236
Saeed Ahmed,PAK,2991,40.42,37.04,1.0913,44.11,21,5,172
GM Turner,NZ,2991,44.64,46.66,0.9567,42.71,21,7,259
JC Adams,WI,3012,41.26,40.65,1.0151,41.88,20,6,208
Habibul Bashar,BDESH,3026,30.88,29.7,1.0398,32.11,27,3,113
CG Borde,INDIA,3061,35.59,34.36,1.0359,36.87,23,5,177
SCJ Broad,ENG,3063,19.63,21.14,0.9288,18.24,13,1,169
AL Hassett,AUS,3073,46.56,44.86,1.038,48.33,21,10,198
WPUJC Vaas,SL,3089,24.32,19.65,1.2375,30.1,14,1,100
BF Butcher,WI,3104,43.11,38.06,1.1327,48.83,23,7,209
CC McDonald,AUS,3107,39.33,35.56,1.1061,43.5,22,5,170
CD McMillan,NZ,3116,38.47,35.17,1.0937,42.07,25,6,142
Sir RJ Hadlee,NZ,3124,27.17,26.41,1.0287,27.95,17,2,151
SK Warne,AUS,3154,17.33,19.04,0.9102,15.77,12,0,99
VT Trumper,AUS,3163,39.05,43.61,0.8954,34.96,21,8,214
HA Gomes,WI,3171,39.64,36.15,1.0966,43.47,22,9,143
NS Sidhu,INDIA,3202,42.13,41.86,1.0064,42.4,24,9,201
VL Manjrekar,INDIA,3208,39.12,38.06,1.0279,40.21,22,7,189
D Elgar,SA,3243,41.05,42.74,0.9604,39.43,23,11,199
CC Hunte,WI,3245,45.07,45.38,0.9932,44.76,21,8,260
ND McKenzie,SA,3253,37.39,37.63,0.9936,37.15,21,5,226
BJ Haddin,AUS,3266,32.99,31.12,1.0601,34.97,22,4,169
AM Rahane,INDIA,3271,41.41,40.01,1.0348,42.84,24,9,188
KWR Fletcher,ENG,3272,39.9,41.04,0.9723,38.8,26,7,216
FE Woolley,ENG,3283,36.08,34.52,1.045,37.7,28,5,154
KC Brathwaite,WI,3289,36.54,40.44,0.9036,33.02,25,8,212
F du Plessis,SA,3302,42.33,36.15,1.171,49.57,25,8,137
Ijaz Ahmed,PAK,3315,37.67,45.33,0.831,31.3,24,12,211
CL Cairns,NZ,3320,33.54,32.79,1.0228,34.3,27,5,158
PJL Dujon,WI,3322,31.94,29.13,1.0964,35.02,21,5,139
GM Wood,AUS,3374,31.83,33.76,0.943,30.01,22,9,172
GA Hick,ENG,3383,31.32,33.68,0.9301,29.13,24,6,178
DM Bravo,WI,3400,40.0,42.64,0.9382,37.53,24,8,218
C Hill,AUS,3412,39.22,44.31,0.8851,34.71,26,7,191
JR Reid,NZ,3428,33.28,34.57,0.9627,32.04,28,6,142
BE Congdon,NZ,3448,32.22,36.5,0.8828,28.45,26,7,176
